Pos,StartNr,Naam,Race,Cat,Loop1,#L1,Wis1,Fiets,#Fie,NaFiets,#NaF,Wis2,Loop2,#L2,Totaal,DQ
386,1038,Vincent Band,2,H24+,0:10:53,315,0:01:41,0:45:00,490,0:57:32,445,0:01:23,0:24:42,347,1:23:36,
387,5008,Jasper   Meerman,4,H24+,0:11:27,394,0:02:08,0:41:35,324,0:55:09,350,0:02:34,0:25:54,412,1:23:36,
388,2129,Liza Van Vlokhoven-Verhaegh,2,D24+,0:11:08,349,0:01:44,0:46:56,572,0:59:46,517,0:01:01,0:22:53,202,1:23:40,
389,5115,Henk Sloof,4,H40+,0:10:53,313,0:02:04,0:45:16,506,0:58:12,468,0:01:43,0:23:46,265,1:23:40,
390,4132,Oscar Vlaming,4,H24+,0:11:53,452,0:01:54,0:41:17,312,0:55:03,344,0:01:53,0:26:49,468,1:23:44,
391,2106,Gabriella Prinz,2,D40+,0:11:29,399,0:01:41,0:44:18,466,0:57:27,438,0:01:55,0:24:24,328,1:23:44,
392,6065,Irene Blikman,6,D24+,0:12:00,467,0:01:41,0:41:45,335,0:55:25,367,0:01:34,0:26:51,470,1:23:50,
393,7069,Toyah Rodhouse,7,D24+,0:11:36,412,0:02:19,0:43:26,415,0:57:21,436,0:02:06,0:24:25,330,1:23:51,
394,2123,Paul Tobé,2,H24+,0:10:31,260,0:02:16,0:43:20,410,0:56:06,394,0:01:52,0:25:55,413,1:23:52,
395,4065,Roderick Cremers,4,H40+,0:10:47,298,0:01:25,0:47:55,592,1:00:06,526,0:01:10,0:22:40,196,1:23:54,
396,4053,Sharona Bolander,4,D24+,0:10:47,299,0:01:27,0:44:02,452,0:56:15,398,0:01:17,0:26:23,443,1:23:54,
397,2116,Marcel Solleveld,2,H24+,0:11:37,415,0:01:43,0:42:37,386,0:55:56,387,0:02:06,0:25:54,411,1:23:56,
398,2039,Philip Huijts,2,H40+,0:10:19,226,0:02:31,0:45:12,501,0:58:02,462,0:02:24,0:23:31,248,1:23:56,
399,3098,Matthijs de Kort,3,H40+,0:12:53,566,0:02:07,0:40:51,289,0:55:50,383,0:02:08,0:25:59,418,1:23:56,
400,4044,Ron Dijkhuizen,4,H40+,0:10:56,317,0:02:00,0:47:45,587,1:00:40,538,0:02:00,0:21:18,117,1:23:58,
401,7005,Rolf Janszen,7,H24+,0:11:57,459,0:01:44,0:41:47,336,0:55:26,368,0:01:26,0:27:10,481,1:24:01,
402,2030,Tjeerd Schouwerwou,2,H40+,0:11:59,464,0:02:15,0:40:56,293,0:55:09,351,0:01:55,0:26:59,473,1:24:02,
403,3075,Stephan Don,3,H24+,0:11:49,444,0:01:34,0:44:51,483,0:58:13,469,0:01:17,0:24:34,339,1:24:03,
404,6101,Lorette van Leeuwen,6,D40+,0:13:08,584,0:01:56,0:39:54,243,0:54:56,339,0:01:36,0:27:36,501,1:24:07,
405,3067,André Boekestijn,3,H24+,0:13:56,635,0:01:49,0:38:51,183,0:54:36,323,0:01:36,0:28:04,517,1:24:15,
406,7051,Mark Verkerk,7,H24+,0:12:05,476,0:02:00,0:40:28,271,0:54:33,322,0:02:15,0:27:31,499,1:24:17,
407,3013,Marco Rutters,3,H40+,0:13:33,608,0:02:02,0:41:06,301,0:56:40,412,0:01:58,0:25:41,406,1:24:18,
408,7079, Mathijs  Schothans,7,H40+,0:10:56,318,0:02:35,0:40:48,287,0:54:17,312,0:02:12,0:27:54,513,1:24:22,
409,3082,Hannah de Grooth,3,D40+,0:12:09,483,0:01:45,0:43:56,446,0:57:48,457,0:01:24,0:25:11,374,1:24:22,
410,4078,Jolien van der Haar,4,D24+,0:11:38,417,0:02:37,0:43:17,408,0:57:30,443,0:01:36,0:25:18,383,1:24:23,
411,6072,Juan Cifuentes,6,H24+,0:10:28,246,0:01:34,0:46:42,564,0:58:42,481,0:01:41,0:24:06,302,1:24:27,
412,5029,Arthur Landsbergen,4,H40+,0:11:05,341,0:02:13,0:46:00,533,0:59:17,497,0:02:11,0:23:01,215,1:24:28,
413,4032,Bart van der Wal,4,H24+,0:12:22,510,0:01:52,0:41:56,346,0:56:09,395,0:01:54,0:26:29,449,1:24:31,
414,7016,Peter Mestrini,7,H40+,0:11:42,433,0:01:58,0:39:28,219,0:53:07,269,0:01:42,0:29:45,581,1:24:33,
415,7066,Maaike  Hazenkamp,7,D24+,0:11:01,328,0:01:16,0:47:22,580,0:59:38,510,0:01:08,0:23:49,272,1:24:33,
416,1007,Mitzi Schoemans,1,D40+,0:11:33,408,0:01:55,0:44:36,474,0:58:02,463,0:01:37,0:24:59,365,1:24:37,
417,4020,Roy du Pree,4,H24+,0:13:49,621,0:01:32,0:42:21,372,0:57:42,454,0:01:26,0:25:31,398,1:24:38,
418,5050,Rene Coppens,4,H40+,0:11:04,339,0:01:37,0:45:34,516,0:58:14,470,0:01:20,0:25:06,372,1:24:39,
419,4126,Jordy Steehouwer,4,H24+,0:11:01,329,0:01:59,0:41:52,342,0:54:51,335,0:02:24,0:27:29,498,1:24:43,
420,3081,Hiddo van der Goot,3,H24+,0:11:22,388,0:01:48,0:42:27,380,0:55:36,373,0:01:50,0:27:19,490,1:24:45,
421,2125,Michael van der Toorn,2,H24+,0:10:31,259,0:01:33,0:44:46,480,0:56:49,419,0:01:55,0:26:06,424,1:24:50,
422,3095,Sophia Kear,3,D24+,0:11:34,409,0:01:49,0:43:44,433,0:57:05,424,0:01:25,0:26:22,441,1:24:51,
423,3038,René Bakker,3,H40+,0:11:49,445,0:01:58,0:42:51,395,0:56:37,410,0:01:57,0:26:20,436,1:24:52,
424,3006,Roland van den Berg,3,H40+,0:11:45,440,0:02:14,0:40:28,272,0:54:26,319,0:03:02,0:27:27,496,1:24:54,
425,3030,Adri Gouw,3,H40+,0:11:30,403,0:02:21,0:41:51,341,0:55:42,376,0:01:33,0:27:40,504,1:24:54,
426,1009,Charissa Efstratiades,1,D24+,0:11:20,381,0:01:45,0:45:40,522,0:58:44,482,0:01:26,0:24:52,356,1:25:01,
427,6115,Menno Slob,6,H24+,0:12:41,551,0:01:44,0:42:10,355,0:56:34,409,0:01:20,0:27:08,480,1:25:01,
428,1101,Brenda Rooijakkers,1,D40+,0:11:21,386,0:02:20,0:46:16,546,0:59:56,521,0:01:49,0:23:29,245,1:25:13,
429,2049,Mark Datema,2,H24+,0:11:20,383,0:01:34,0:46:25,551,0:59:18,498,0:01:24,0:24:34,337,1:25:15,
430,3034,Reinier Doelman,3,H24+,0:13:09,587,0:01:54,0:42:11,357,0:57:13,430,0:01:46,0:26:27,448,1:25:26,
431,5026,Cath Bostantzis,4,D24+,0:11:11,353,0:01:55,0:46:10,541,0:59:15,495,0:02:03,0:24:10,310,1:25:27,
432,6108,Claudia van der Poel,6,D24+,0:12:14,492,0:02:04,0:43:27,416,0:57:44,455,0:01:38,0:26:08,425,1:25:29,
433,1064,Sjouke Hoogma,1,D24+,0:10:21,231,0:02:52,0:46:29,552,0:59:41,512,0:02:10,0:23:40,260,1:25:30,
434,6089,Kelly van Hoof,6,D24+,0:10:36,271,0:01:48,0:48:18,601,1:00:41,539,0:01:14,0:23:42,262,1:25:36,
435,3036,Chantahl Boers,3,D40+,0:12:04,475,0:01:59,0:43:29,419,0:57:31,444,0:01:47,0:26:20,438,1:25:38,
436,6126,Marliese Vollebregt,6,D16+,0:10:30,256,0:01:34,0:46:30,556,0:58:33,476,0:01:40,0:25:27,390,1:25:39,
437,7076,Leon De Kaper,7,H40+,0:11:58,462,0:01:41,0:44:09,459,0:57:46,456,0:01:14,0:26:43,464,1:25:42,
438,3114,Bob van Roode,3,H40+,0:12:34,536,0:02:24,0:40:19,263,0:55:16,358,0:02:24,0:28:05,520,1:25:44,
439,3129,Xander Theil,3,H40+,0:11:12,357,0:01:52,0:44:30,470,0:57:33,446,0:01:53,0:26:20,437,1:25:45,
440,7038,Collin Oosterbaan,7,H40+,0:10:49,301,0:01:31,0:43:46,435,0:56:04,391,0:01:38,0:28:08,523,1:25:49,
441,4140,Marjolein Zwijnenburg,4,D24+,0:11:27,397,0:01:40,0:46:17,548,0:59:24,502,0:02:02,0:24:25,329,1:25:50,
442,1085,Nick Malatestas,1,H24+,0:11:12,358,0:02:24,0:47:09,577,1:00:44,540,0:01:38,0:23:37,255,1:25:58,
443,6007,Werner Pellis,6,H40+,0:11:44,438,0:02:16,0:44:53,484,0:58:52,485,0:01:53,0:25:17,378,1:26:01,
444,1045,Hilma Buiten,1,D16+,0:12:12,489,0:01:41,0:43:36,428,0:57:29,441,0:02:26,0:26:08,426,1:26:02,
445,2010,Richard van der Maas,2,H40+,0:12:26,521,0:01:42,0:42:41,390,0:56:48,417,0:01:49,0:27:27,497,1:26:03,
446,1141,Danielle van der Zanden,1,D16+,0:12:52,564,0:01:41,0:40:36,277,0:55:08,349,0:01:21,0:29:36,575,1:26:04,
447,5040,Marlyn Kooijman,4,D24+,0:12:16,495,0:01:57,0:45:01,492,0:59:13,492,0:01:26,0:25:28,393,1:26:05,
448,2141,Saara Wasama,2,D24+,0:12:42,553,0:01:46,0:41:35,325,0:56:03,389,0:01:38,0:28:30,536,1:26:09,
449,3035,Gerard Brand,3,H40+,0:13:35,613,0:01:41,0:39:44,239,0:54:58,340,0:02:32,0:28:46,544,1:26:15,
450,4074,Reyn de Dreu,4,H24+,0:10:56,320,0:02:27,0:44:40,475,0:58:03,464,0:02:38,0:25:35,400,1:26:15,
451,6082,Anky Faber,6,D40+,0:13:08,586,0:01:50,0:41:17,311,0:56:15,397,0:01:44,0:28:18,527,1:26:16,
452,7059,Simon Lamers,7,H24+,0:10:00,178,0:01:29,0:47:36,584,0:59:03,487,0:01:59,0:25:19,384,1:26:21,
453,1142,Ruben van der Zwaan,1,H24+,0:11:08,348,0:02:25,0:44:28,469,0:58:00,460,0:01:46,0:26:37,459,1:26:22,
454,5015,Jeanette Lankhuijzen,4,D40+,0:12:21,508,0:01:57,0:42:08,354,0:56:25,402,0:01:55,0:28:06,521,1:26:25,
455,7071,Astrid  Zweistra,7,D24+,0:10:46,296,0:02:24,0:45:57,531,0:59:07,489,0:02:01,0:25:20,385,1:26:26,
456,3136,Peter van der Werff,3,H24+,,,,,,,,,,,1:26:30,
457,1088,Eelco Meijer,1,H24+,0:11:27,396,0:02:37,0:43:52,441,0:57:55,459,0:01:45,0:26:56,472,1:26:35,
458,4031,Romy Berntsen,4,D24+,0:11:13,366,0:02:11,0:44:16,463,0:57:39,452,0:01:50,0:27:07,479,1:26:36,
459,1040,Jelena Berghuis,1,D16+,0:11:55,456,0:02:09,0:43:34,426,0:57:36,450,0:01:41,0:27:21,492,1:26:37,
460,4097,Sabine Leichtfuss,4,D24+,0:12:02,473,0:01:49,0:45:33,515,0:59:23,501,0:01:41,0:25:35,399,1:26:38,
461,3096,Raymond Kok,3,H24+,0:12:26,520,0:02:11,0:42:12,359,0:56:48,418,0:02:37,0:27:19,489,1:26:43,
462,4122,Roos Schrama,4,D24+,0:11:14,369,0:02:01,0:41:33,322,0:54:46,331,0:01:56,0:30:04,590,1:26:45,
463,5017,Ruud van Holland,4,H40+,0:11:40,423,0:02:44,0:43:18,409,0:57:40,453,0:01:59,0:27:07,478,1:26:45,
464,3001,Peter van Meijeren,3,H40+,0:11:48,442,0:02:13,0:42:05,352,0:56:06,393,0:02:07,0:28:51,549,1:27:03,
465,4094,Lotte van de Laar,4,D24+,0:11:02,331,0:02:30,0:46:54,571,1:00:24,533,0:02:20,0:24:22,324,1:27:05,
466,7009,Frank Doornink,7,H24+,0:11:41,429,0:02:02,0:41:37,331,0:55:19,362,0:02:03,0:29:46,582,1:27:07,
467,5095,Marieke Kaptein,4,D24+,0:11:51,448,0:01:58,0:45:21,509,0:59:09,490,0:02:15,0:25:46,408,1:27:08,
468,6121,Ingrid Verheij,6,D24+,0:13:30,604,0:03:14,0:41:25,317,0:58:08,465,0:03:07,0:25:55,414,1:27:08,
469,1022,Gerard Oomen,1,H40+,0:12:34,537,0:01:54,0:37:10,106,0:51:37,211,0:01:42,0:33:51,667,1:27:09,
470,3040,Marco Breman,3,H40+,0:12:25,518,0:01:56,0:44:30,471,0:58:51,484,0:01:44,0:26:42,462,1:27:15,
471,4037,Igor van den Akker,4,H40+,0:12:53,565,0:01:59,0:43:29,418,0:58:20,472,0:01:43,0:27:13,483,1:27:16,
472,3024,Pieter Evegroen,3,H40+,0:13:03,577,0:02:49,0:43:24,413,0:59:14,494,0:03:04,0:25:02,368,1:27:19,
473,5002,Carlijn Pieper,4,D24+,0:12:23,513,0:02:06,0:43:55,445,0:58:23,473,0:01:52,0:27:06,476,1:27:20,
474,3138,Rogier Wijnveldt,3,H24+,0:12:16,496,0:02:09,0:41:58,348,0:56:23,400,0:02:06,0:28:56,553,1:27:24,
475,6087,David Henry,6,H40+,0:11:26,393,0:02:27,0:46:08,536,1:00:01,523,0:01:55,0:25:30,396,1:27:24,
476,3115,Toke van Ruijven,3,D40+,0:12:35,541,0:01:54,0:43:00,398,0:57:28,439,0:01:46,0:28:23,529,1:27:35,
477,2142,Miriam van der Werf,2,D24+,0:13:04,581,0:02:14,0:40:57,294,0:56:14,396,0:02:06,0:29:26,569,1:27:45,
478,2140,Harm de Waaij,2,H24+,0:10:05,192,0:01:42,0:42:23,373,0:54:09,304,0:03:29,0:30:08,591,1:27:45,
479,4083,Martin Hofman,4,H24+,0:12:06,479,0:01:56,0:46:13,543,1:00:14,529,0:01:18,0:26:15,432,1:27:46,
480,4021,Gertine van Oord,4,D24+,0:11:55,455,0:01:53,0:43:11,402,0:56:58,422,0:01:44,0:29:09,559,1:27:49,
481,7053,Ian Wachters,7,H40+,0:11:29,401,0:02:53,0:37:16,110,0:51:38,213,0:12:45,0:23:29,244,1:27:51,
482,6128,Sjoerd Waalwijk,6,H24+,0:11:13,364,0:02:03,0:47:54,591,1:01:09,547,0:02:05,0:24:38,344,1:27:51,
483,4068,Regina Dijkshoorn,4,D40+,0:11:46,441,0:01:53,0:45:39,519,0:59:17,496,0:02:05,0:26:33,453,1:27:54,
484,1005,Stefan Nobel,1,H24+,0:11:41,426,0:02:28,0:43:07,401,0:57:15,434,0:02:01,0:28:45,543,1:28:00,
485,4007,Alexander Poublon,4,H24+,0:11:53,453,0:02:22,0:44:13,461,0:58:27,474,0:01:33,0:28:04,518,1:28:04,
486,3061,Dick van Beuzekom,3,H40+,0:13:19,594,0:01:43,0:42:11,356,0:57:11,429,0:01:39,0:29:16,564,1:28:06,
487,3123,Roy Smitshoek,3,H24+,0:13:32,607,0:02:09,0:44:06,457,0:59:45,516,0:01:58,0:26:25,446,1:28:08,
488,1042,Jolanda Blijleven,1,D24+,0:11:57,460,0:01:52,0:45:44,523,0:59:32,506,0:01:28,0:27:13,482,1:28:12,
489,2013,Michel van Leeuwen,2,H24+,0:12:13,491,0:01:26,0:44:55,486,0:58:33,477,0:01:14,0:28:31,538,1:28:17,
490,5051,Annemiek Nusteling,4,D40+,0:13:36,615,0:01:58,0:43:31,422,0:59:04,488,0:01:39,0:27:41,506,1:28:24,
491,7041,Edwin van der Ploeg,7,H40+,0:11:09,351,0:02:20,0:43:47,439,0:57:16,435,0:02:14,0:28:56,552,1:28:25,
492,5108,Rik Rozendaal,4,H24+,0:11:21,384,0:02:45,0:45:22,510,0:59:27,504,0:02:15,0:26:44,466,1:28:25,
493,6114,Carmen Schaeffer,6,D40+,0:11:50,447,0:02:30,0:45:00,491,0:59:19,500,0:02:32,0:26:42,461,1:28:31,
494,4107,Wouter van Noorloos,4,H24+,0:13:56,636,0:02:30,0:42:54,397,0:59:19,499,0:02:07,0:27:06,477,1:28:31,
495,5107,Danny Roodenburg,4,H40+,0:12:35,539,0:02:20,0:42:40,389,0:57:33,447,0:02:44,0:28:16,526,1:28:33,
496,4001,Patrick de Vries,4,H40+,0:10:37,275,0:02:23,0:45:09,498,0:58:08,466,0:02:15,0:28:14,525,1:28:35,
497,2117,Joan Steeman,2,D24+,0:13:22,596,0:02:04,0:41:18,315,0:56:43,414,0:01:31,0:30:35,605,1:28:48,
498,7064,Michiel Ypenburg,7,H24+,0:09:58,173,0:02:10,0:46:08,537,0:58:16,471,0:02:08,0:28:31,537,1:28:53,
499,4009,Richard Groeneveld,4,H24+,0:10:41,283,0:03:19,0:46:30,555,1:00:29,535,0:02:33,0:26:03,420,1:29:04,
500,4125,Aad Spruijt,4,H40+,0:12:30,528,0:02:19,0:43:46,437,0:58:34,478,0:02:50,0:27:47,509,1:29:09,
501,5020,Wendelijn van den Berg,4,D24+,0:11:41,427,0:02:05,0:48:20,603,1:02:05,567,0:01:25,0:25:41,407,1:29:10,
502,3039,René Bitter,3,H40+,0:12:27,524,0:02:05,0:46:09,538,1:00:40,537,0:01:51,0:26:45,467,1:29:15,
503,3124,Robert Speetjens,2,H24+,0:12:24,516,0:01:54,0:41:31,320,0:55:48,382,0:02:34,0:31:03,616,1:29:23,
504,3008,Jasper Verriet,3,H24+,0:11:12,356,0:02:31,0:45:54,528,0:59:35,508,0:02:06,0:27:44,508,1:29:24,
505,2005,Dick Janson,2,H40+,0:11:41,428,0:02:50,0:46:15,544,1:00:45,541,0:01:27,0:27:17,486,1:29:28,
506,7073,Michel Landman,7,H40+,0:11:24,390,0:02:20,0:45:30,514,0:59:13,493,0:02:36,0:27:41,505,1:29:29,
507,5041,Siska Groen,4,D24+,0:13:41,618,0:02:26,0:43:31,424,0:59:37,509,0:01:54,0:28:01,516,1:29:31,
508,4042,Robbert Zeemeijer,4,H24+,0:13:56,633,0:02:14,0:45:02,494,1:01:11,549,0:01:35,0:26:50,469,1:29:35,
509,2054,Patrick van der Elst,2,H24+,0:12:16,498,0:02:08,0:46:47,566,1:01:10,548,0:02:06,0:26:23,444,1:29:38,
510,4030,Paula Biesta,4,D40+,0:11:54,454,0:01:45,0:46:43,565,1:00:22,532,0:01:58,0:27:26,495,1:29:44,
511,5116,Herman Specker,4,H40+,0:12:23,514,0:01:59,0:42:45,392,0:57:06,425,0:01:58,0:30:52,614,1:29:55,
512,7058,Lizzy Van Goozen,7,D24+,0:11:40,424,0:02:46,0:45:18,508,0:59:44,514,0:02:38,0:27:43,507,1:30:04,
513,2091,Britt Mekel,2,D24+,0:13:03,580,0:01:50,0:44:50,482,0:59:43,513,0:01:37,0:28:46,546,1:30:05,
514,2137,Annemarie Volkers,2,D24+,0:13:47,620,0:01:40,0:41:48,337,0:57:14,431,0:01:39,0:31:16,620,1:30:09,
515,4059,Arie van Beuzekom,4,H24+,0:11:31,404,0:02:23,0:45:35,518,0:59:28,505,0:02:02,0:28:42,542,1:30:11,
516,3126,Rafaël Tamsiran,3,H40+,0:13:28,602,0:02:05,0:46:38,562,1:02:10,569,0:01:39,0:26:32,451,1:30:20,
517,5099,Daphne van der Loo,4,D24+,0:11:50,446,0:02:08,0:49:27,629,1:03:23,594,0:02:14,0:24:47,351,1:30:23,
518,5096,Loes Langendoen,4,D40+,0:12:41,550,0:02:32,0:42:15,365,0:57:28,440,0:03:00,0:29:56,586,1:30:24,
519,5052,Raymond Scholten,4,H40+,0:12:14,493,0:02:06,0:45:46,525,1:00:05,525,0:02:47,0:27:35,500,1:30:26,
520,1056,Renee Engelkes,1,D40+,0:12:31,533,0:02:38,0:46:53,569,1:02:01,565,0:01:55,0:26:37,460,1:30:32,
521,3116,Johan Sap,3,H24+,0:12:08,482,0:03:36,0:44:44,478,1:00:27,534,0:02:43,0:27:25,494,1:30:34,
522,5021,Piet Kooijman,4,H40+,0:12:19,501,0:01:39,0:48:55,612,1:02:52,587,0:01:29,0:26:24,445,1:30:44,
523,6036,Ruurd Tolman,6,H40+,0:13:15,591,0:01:44,0:45:09,497,1:00:08,527,0:01:53,0:28:47,547,1:30:46,
524,1054,Jennifer van Drongelen,1,D24+,0:12:16,497,0:02:37,0:44:55,487,0:59:47,518,0:02:57,0:28:23,528,1:31:06,
525,1070,Nicolette de Jong,1,D40+,0:12:30,529,0:02:35,0:47:29,581,1:02:32,581,0:02:03,0:26:36,457,1:31:10,
526,3104,Casper Mintjes,3,H40+,0:13:56,634,0:02:40,0:44:23,468,1:00:58,544,0:02:24,0:27:51,512,1:31:12,
527,4025,Walter Sanda,4,H24+,0:11:20,382,0:02:10,0:46:04,534,0:59:34,507,0:02:45,0:29:01,555,1:31:19,
528,5087,Marijn Ham,4,H16+,0:13:33,609,0:03:57,0:44:44,479,1:02:14,572,0:02:31,0:26:34,455,1:31:19,
529,5118,Jiska Stegeman,4,D16+,0:13:34,610,0:04:05,0:44:40,476,1:02:18,575,0:02:29,0:26:33,452,1:31:19,
530,5011,Maartje   Vermeulen,4,D24+,0:12:14,494,0:01:54,0:48:15,600,1:02:22,577,0:01:43,0:27:16,485,1:31:20,
531,7029,Nathalia Kaarls,7,D40+,0:12:02,474,0:01:58,0:49:05,618,1:03:04,591,0:01:21,0:27:00,474,1:31:24,
532,5038,Wiebe De Ridder,4,H40+,0:13:05,582,0:02:06,0:42:13,362,0:57:23,437,0:02:23,0:31:42,630,1:31:27,
533,7031,Maurits Leentvaar,7,H24+,0:12:44,559,0:01:49,0:44:54,485,0:59:27,503,0:01:50,0:30:14,597,1:31:29,
534,4139,Robin van Zeijl,4,D24+,0:12:31,532,0:02:18,0:45:14,505,1:00:02,524,0:02:00,0:29:29,573,1:31:30,
535,2096,Mandy van Noortwijk,2,D40+,0:13:21,595,0:02:15,0:46:40,563,1:02:15,573,0:02:32,0:27:03,475,1:31:49,
536,1062,Arjen Hoogerwerf,1,H40+,0:13:27,600,0:02:06,0:44:16,464,0:59:48,519,0:01:43,0:30:22,601,1:31:52,
537,2043,Frits Bezemer,2,H24+,0:12:20,506,0:01:32,0:47:07,575,1:00:58,545,0:01:19,0:29:36,576,1:31:52,
538,2047,Frank Daams,2,H24+,0:12:27,523,0:03:38,0:46:30,553,1:02:33,583,0:03:24,0:25:55,415,1:31:52,
539,5071,Wout Boer,4,H24+,0:13:13,590,0:02:37,0:45:02,493,1:00:52,543,0:02:06,0:28:55,551,1:31:52,
540,6110,Bert de Roo,6,H40+,0:12:01,470,0:02:33,0:45:12,500,0:59:44,515,0:03:13,0:29:11,561,1:32:07,
541,6129,Anneke van der Wal,6,D40+,0:13:49,622,0:02:05,0:43:47,438,0:59:40,511,0:02:01,0:30:29,602,1:32:09,
542,5030,Edward Kooijman,4,H24+,0:12:20,504,0:02:27,0:47:30,582,1:02:16,574,0:02:08,0:27:49,510,1:32:11,
543,4070,Veerle van Doeveren,4,D24+,0:12:54,567,0:02:53,0:48:11,599,1:03:57,599,0:02:40,0:26:06,423,1:32:41,
544,1046,Joke Carlier,1,D40+,0:12:26,522,0:02:28,0:49:16,625,1:04:10,602,0:01:53,0:26:43,465,1:32:45,
545,1049,Evelien Deurloo,1,D24+,0:12:31,531,0:01:47,0:45:56,530,1:00:12,528,0:01:38,0:30:57,615,1:32:46,
546,3112,Glenn Reek,3,H24+,0:11:48,443,0:01:34,0:52:27,661,1:05:48,631,0:01:32,0:25:28,394,1:32:48,
547,5034,Else Faber,4,D40+,0:11:56,458,0:04:19,0:46:53,570,1:03:07,592,0:03:42,0:26:18,434,1:33:06,
548,1077,Lex Koopman,1,H24+,0:11:03,335,0:02:36,0:51:28,655,1:05:07,620,0:01:52,0:26:20,435,1:33:18,
549,2029,Linda Bel,2,D24+,0:12:39,546,0:02:02,0:47:20,579,1:02:00,564,0:01:48,0:29:32,574,1:33:19,
550,1061,Danielle den Hertog,1,D24+,0:13:03,578,0:02:31,0:45:53,527,1:01:27,551,0:01:56,0:29:58,587,1:33:20,
551,1075,Natasja Kluit,1,D40+,0:12:23,512,0:03:09,0:46:20,550,1:01:51,559,0:03:05,0:28:26,534,1:33:21,
552,1125,Martin Van DerBok,1,H40+,0:12:23,511,0:03:10,0:46:09,540,1:01:41,554,0:03:15,0:28:26,535,1:33:21,
553,7112,Jasper van Randeraat,7,H24+,0:10:44,290,0:01:49,0:49:47,634,1:02:19,576,0:01:41,0:29:23,567,1:33:22,
554,4106,Kenneth Nieuweboer,4,H40+,0:12:38,543,0:01:41,0:47:42,586,1:02:00,563,0:01:44,0:29:48,583,1:33:31,
555,2094,Sandra Middel,2,D40+,0:12:40,549,0:02:15,0:49:28,630,1:04:22,607,0:01:57,0:27:18,488,1:33:37,
556,3042,Hiro Asakura,3,H40+,0:13:18,593,0:02:18,0:46:16,547,1:01:51,560,0:02:31,0:29:20,566,1:33:40,
557,6086,Jeroen Hameete,6,H24+,0:10:29,255,0:02:33,0:49:08,620,1:02:09,568,0:03:13,0:28:23,530,1:33:44,
558,4071,Ruud van Dongen,4,H40+,0:13:26,598,0:02:57,0:43:34,427,0:59:57,522,0:02:46,0:31:03,617,1:33:45,
559,4124,John Snap,4,H24+,0:12:28,526,0:02:40,0:46:36,561,1:01:44,555,0:02:10,0:29:56,585,1:33:49,
560,2133,Diana Verboom,2,D24+,0:12:19,502,0:01:50,0:50:41,647,1:04:50,615,0:01:25,0:27:37,502,1:33:50,
561,6061,Corne den Besten,6,H24+,0:14:18,650,0:03:19,0:43:29,421,1:01:06,546,0:02:44,0:30:18,600,1:34:07,
562,7055,Richard  van  Ewijk ,7,H40+,0:12:10,485,0:01:48,0:44:48,481,0:58:45,483,0:01:55,0:33:34,662,1:34:12,
563,7080, Bianca  Smid,7,D40+,0:12:01,468,0:02:19,0:49:01,616,1:03:21,593,0:02:46,0:28:08,524,1:34:14,
564,5069,Natascha Beumer,4,D24+,0:14:18,649,0:02:16,0:45:57,532,1:02:30,580,0:02:37,0:29:16,563,1:34:23,
565,6025,Krishnan Gonesh,6,H40+,0:12:21,509,0:02:45,0:45:13,502,1:00:19,531,0:02:31,0:31:36,627,1:34:25,
566,2068,Irene Hoevenaars,2,D24+,0:12:58,570,0:03:00,0:49:22,628,1:05:18,623,0:01:53,0:27:17,487,1:34:27,
567,5119,Threa Teeuw,4,D40+,0:12:20,505,0:02:10,0:47:41,585,1:02:10,570,0:02:06,0:30:18,599,1:34:33,
568,2083,Pascale Lavooij,2,D40+,0:13:10,588,0:02:06,0:48:23,604,1:03:39,597,0:01:56,0:29:05,557,1:34:39,
569,2023,Gert Jan van Buuren,2,H40+,0:12:18,499,0:01:24,0:50:19,641,1:03:59,601,0:01:30,0:29:11,560,1:34:39,
570,1121,Henk Tjauw,1,H24+,0:12:44,558,0:02:17,0:49:12,624,1:04:12,603,0:01:51,0:28:39,540,1:34:41,
571,3029,Caroline Hundepool,3,D24+,0:13:27,599,0:01:42,0:47:34,583,1:02:42,586,0:01:24,0:30:43,612,1:34:49,
572,4113,Charissa de Regt,4,D24+,0:11:56,457,0:02:03,0:50:16,640,1:04:14,605,0:01:32,0:29:11,562,1:34:56,
573,6074,L. van Donge,6,D24+,0:12:45,560,0:02:05,0:46:51,567,1:01:40,553,0:01:51,0:31:30,626,1:35:01,
574,6123,Evert Verveer,6,H24+,0:12:28,527,0:01:29,0:45:16,507,0:59:13,491,0:01:52,0:34:00,669,1:35:04,
575,2002,Eppie Fokkema,2,H40+,0:13:24,597,0:02:57,0:44:58,489,1:01:18,550,0:01:36,0:32:18,642,1:35:11,
576,2079,Liesbeth Koorn,2,D40+,0:13:54,626,0:02:15,0:46:35,560,1:02:42,585,0:02:27,0:30:09,592,1:35:18,
577,2032,Erik Plugge,2,H40+,0:13:53,625,0:02:14,0:46:19,549,1:02:25,578,0:02:43,0:30:12,595,1:35:18,
578,3089,Sandra Hogeveen,3,D40+,0:13:30,605,0:02:17,0:47:46,589,1:03:33,596,0:02:14,0:29:42,580,1:35:28,
579,2067,Stephanie van der Hoeven,2,D40+,0:12:27,525,0:01:29,0:50:53,649,1:04:49,614,0:01:59,0:28:53,550,1:35:40,
