Pos,StartNr,Naam,Race,Cat,Loop1,#L1,Wis1,Fiets,#Fie,NaFiets,#NaF,Wis2,Loop2,#L2,Totaal,DQ
96,2107,Anne-To van Puffelen,2,D24+,0:09:29,102,0:01:37,0:37:22,117,0:48:27,101,0:01:22,0:21:26,120,1:11:14,
97,6038,Edwin Hubers,6,H24+,0:08:57,54,0:01:08,0:40:04,249,0:50:09,154,0:01:05,0:20:04,55,1:11:17,
98,5076,Susie Cats,4,D24+,0:09:43,134,0:01:56,0:36:44,86,0:48:22,99,0:01:15,0:21:44,145,1:11:21,
99,5033,Marcel van der Linden,4,H40+,0:09:43,133,0:01:27,0:36:29,79,0:47:38,82,0:01:33,0:22:13,177,1:11:24,
100,4101,A van der Meer,4,H24+,0:09:30,104,0:01:35,0:37:02,100,0:48:06,92,0:01:46,0:21:40,142,1:11:32,
101,4123,Ruben van Smaalen,4,H24+,0:08:55,45,0:01:40,0:39:34,227,0:50:07,152,0:01:46,0:19:39,37,1:11:32,
102,7067, Robert  Hol,7,H24+,0:10:15,217,0:01:22,0:36:43,85,0:48:18,97,0:01:42,0:21:32,132,1:11:32,
103,4056,Nelleke Baldé,4,D24+,0:09:54,159,0:01:32,0:36:48,91,0:48:13,96,0:01:19,0:22:05,166,1:11:35,
104,7013,Willem  De Gouw,7,H40+,0:10:01,181,0:01:12,0:35:40,57,0:46:52,70,0:01:14,0:23:31,249,1:11:36,
105,6051,Hilde Pape,6,D24+,0:09:01,57,0:01:37,0:39:30,221,0:50:07,151,0:01:18,0:20:13,63,1:11:36,
106,5084,Dennis Franken,4,H24+,0:09:58,171,0:01:58,0:36:24,77,0:48:19,98,0:01:53,0:21:32,130,1:11:43,
107,6090,Jurriaan Huisman,6,H24+,0:09:29,101,0:01:01,0:38:49,179,0:49:17,124,0:00:57,0:21:34,136,1:11:47,
108,4026,Leon Sperling,4,H24+,0:09:26,96,0:01:30,0:36:53,94,0:47:48,87,0:01:17,0:22:44,198,1:11:49,
109,4018,Daniël Hordijk,4,H24+,0:09:17,88,0:01:48,0:38:30,165,0:49:34,130,0:01:16,0:21:01,95,1:11:50,
110,6099,Koen van der Leeden,6,H24+,0:08:35,21,0:01:21,0:39:40,233,0:49:35,131,0:01:17,0:21:01,96,1:11:52,
111,4138,Sjoerd Witmont,4,H40+,0:09:03,59,0:01:26,0:39:00,189,0:49:28,128,0:01:17,0:21:12,108,1:11:55,
112,3046,Arne Speijer,3,H24+,0:09:26,94,0:02:03,0:37:49,133,0:49:17,123,0:02:23,0:20:16,67,1:11:55,
113,7007,Arnoud van Amersfoort,7,H40+,0:09:36,120,0:01:57,0:36:11,67,0:47:42,85,0:01:28,0:22:53,200,1:12:03,
114,5043,Mike Zijlmans,4,H24+,0:08:44,30,0:02:17,0:40:17,256,0:51:17,197,0:02:00,0:18:47,16,1:12:03,
115,7043,Peter Sanders,7,H40+,0:10:49,303,0:01:38,0:36:23,76,0:48:50,114,0:01:14,0:22:02,162,1:12:04,
116,7028,Leon Hordijk,7,H24+,0:09:42,130,0:01:57,0:37:07,103,0:48:46,111,0:01:26,0:21:55,157,1:12:06,
117,4011,Francesco Morici,4,H40+,0:08:53,37,0:01:46,0:39:15,206,0:49:53,140,0:01:15,0:21:03,97,1:12:10,
118,5111,Titus Schoffelen,4,H24+,0:09:31,107,0:01:33,0:37:32,123,0:48:35,108,0:01:47,0:21:56,158,1:12:18,
119,5064,Andy Oskam,4,H40+,0:08:21,14,0:02:00,0:39:57,247,0:50:17,159,0:03:00,0:19:04,22,1:12:21,
120,1035,Jeroen Alblas,1,H24+,0:10:33,264,0:01:25,0:40:10,253,0:52:07,235,0:01:04,0:19:17,29,1:12:27,
121,1060,Bart Hermanns,1,H40+,0:09:31,108,0:02:11,0:37:20,115,0:49:02,120,0:01:56,0:21:30,127,1:12:28,
122,3052,Ferry de Valk,3,H40+,0:09:53,158,0:01:42,0:38:44,177,0:50:19,160,0:01:19,0:20:55,91,1:12:33,
123,3064,John Berkeljon,3,H40+,0:10:09,205,0:01:35,0:36:52,93,0:48:35,107,0:01:37,0:22:22,182,1:12:33,
124,7075,Folkert  Van der Ploeg,7,H24+,0:10:14,216,0:01:38,0:36:16,72,0:48:08,93,0:01:28,0:22:58,210,1:12:33,
125,5003,Maurice van Gameren,4,H24+,0:09:45,136,0:01:39,0:36:15,70,0:47:37,80,0:01:42,0:23:28,241,1:12:46,
126,5048,Bastiaan Blokland,4,H24+,0:09:09,70,0:01:27,0:38:25,163,0:49:01,119,0:01:47,0:22:00,160,1:12:48,
127,3059,Marcel Heijnen,3,H40+,0:10:32,262,0:01:34,0:37:27,121,0:49:32,129,0:01:31,0:21:47,148,1:12:50,
128,3015,Gaston Vazquez,3,H24+,0:10:21,232,0:01:27,0:38:13,153,0:50:01,147,0:01:26,0:21:27,122,1:12:53,
129,5032,Floris Kruysifix,4,H40+,0:09:34,119,0:01:39,0:35:09,43,0:46:21,52,0:02:21,0:24:18,318,1:12:58,
130,4090,Sander Klink,4,H24+,0:09:27,97,0:01:23,0:39:50,241,0:50:39,175,0:01:24,0:20:58,92,1:13:00,
131,7000,Nils Bronswijk,7,H24+,0:10:02,182,0:01:39,0:37:44,132,0:49:23,126,0:01:29,0:22:09,169,1:13:01,
132,6058,Antoine Avril,6,H24+,0:09:55,167,0:01:40,0:37:34,124,0:49:08,121,0:01:48,0:22:11,174,1:13:06,
133,5070,Kirsten Verkooijen,4,D24+,0:10:16,220,0:01:38,0:37:49,134,0:49:43,136,0:01:36,0:21:50,149,1:13:08,
134,1129,Daan Veer,1,H24+,0:10:29,251,0:01:20,0:38:25,161,0:50:13,156,0:01:21,0:21:38,140,1:13:11,
135,7030,Steven Lankhorst,7,H24+,0:09:46,139,0:01:53,0:36:33,80,0:48:10,95,0:01:41,0:23:21,235,1:13:12,
136,4015,Christian Ibarra,4,H24+,0:09:17,86,0:01:48,0:39:40,232,0:50:43,179,0:01:23,0:21:18,115,1:13:23,
137,3060,Menno Emmink,3,H40+,0:10:07,199,0:01:46,0:37:16,112,0:49:09,122,0:01:47,0:22:31,188,1:13:26,
138,5072,Vincent Boere,4,H24+,0:09:02,58,0:01:55,0:39:10,201,0:50:06,149,0:02:14,0:21:09,104,1:13:28,
139,5062,Jeroen Alkemade,4,H40+,0:10:04,191,0:01:50,0:38:03,143,0:49:57,143,0:01:30,0:22:04,165,1:13:30,
140,4066,Ryan van Dijk,4,H24+,0:10:25,239,0:01:35,0:36:38,81,0:48:37,109,0:01:40,0:23:17,232,1:13:33,
141,4128,Danny Ter Laak,4,H24+,0:09:59,175,0:01:42,0:39:31,222,0:51:10,191,0:01:36,0:20:51,89,1:13:36,
142,4121,Martijn Rödel,4,H24+,0:09:58,172,0:01:58,0:40:24,267,0:52:18,239,0:01:40,0:19:39,38,1:13:37,
143,5125,Jay Verhulsdonck,4,H24+,0:10:38,278,0:01:38,0:38:50,180,0:51:05,188,0:01:24,0:21:09,105,1:13:37,
144,5068,Matteo Bettoni,4,H24+,0:09:37,124,0:01:42,0:39:20,211,0:50:38,174,0:01:40,0:21:21,119,1:13:39,
145,2028,Peter van der Elst,2,H24+,0:09:32,112,0:01:56,0:39:10,199,0:50:36,173,0:01:47,0:21:17,114,1:13:39,
146,4038,Marcel de Jeu,4,H40+,0:10:09,206,0:01:54,0:36:48,90,0:48:50,115,0:02:27,0:22:25,184,1:13:42,
147,7082,Rogier Potter van Loon,7,H24+,0:10:03,186,0:01:17,0:39:13,205,0:50:32,172,0:01:04,0:22:11,175,1:13:46,
148,5058,Simone Lankhuijzen,4,D40+,0:10:28,247,0:01:50,0:38:08,150,0:50:26,164,0:01:37,0:21:51,150,1:13:52,
149,6034,Alex Elbers,6,H40+,0:10:34,706,0:01:20,0:38:31,702,0:50:23,702,0:01:18,0:22:19,704,1:13:59,
150,5081,Michel Dekker,4,H40+,0:10:09,202,0:01:40,0:35:51,63,0:47:39,83,0:01:52,0:24:29,333,1:14:00,
151,1100,Maarten Quist,1,H40+,0:09:54,161,0:01:26,0:37:30,122,0:48:49,113,0:01:23,0:23:50,273,1:14:01,
152,3088,Rob Hirs,3,H40+,0:10:18,222,0:02:58,0:37:16,113,0:50:31,169,0:02:00,0:21:31,129,1:14:01,
153,6035,Erwin Mesker,6,H40+,0:09:32,110,0:01:44,0:40:18,262,0:51:33,208,0:01:35,0:21:03,98,1:14:10,
154,2099,Bram Olmer,2,H24+,0:10:51,308,0:01:52,0:39:02,194,0:51:44,219,0:01:27,0:21:03,99,1:14:14,
155,1105,Ben Ruiter,1,H24+,0:10:05,194,0:01:22,0:38:09,151,0:49:35,132,0:01:07,0:23:37,256,1:14:18,
156,1069,Michel Jochems,1,H24+,0:09:45,137,0:01:39,0:38:47,178,0:50:10,155,0:01:19,0:23:01,216,1:14:29,
157,5093,Michiel Huijgen,4,H24+,0:09:04,60,0:01:36,0:40:43,283,0:51:21,199,0:01:17,0:21:53,153,1:14:30,
158,1063,Jurn Hoogma,1,H24+,0:09:18,89,0:01:34,0:40:31,273,0:51:22,200,0:01:11,0:22:01,161,1:14:33,
159,7004,Jerry Ramzan,7,H40+,0:09:46,701,0:01:57,0:40:28,703,0:52:10,703,0:01:11,0:21:14,701,1:14:34,
160,7015,Moniek van Lieshout,7,D24+,0:10:34,265,0:01:29,0:41:30,319,0:53:32,282,0:01:06,0:19:58,50,1:14:35,
161,2076,Remon Kik,2,H24+,0:10:24,236,0:01:25,0:38:05,146,0:49:52,139,0:01:26,0:23:24,239,1:14:41,
162,4017,Dave van Dijk,4,H24+,0:10:18,223,0:01:52,0:38:33,168,0:50:42,178,0:01:23,0:22:38,193,1:14:41,
163,1091,Rene de Milliano,1,H24+,0:10:29,252,0:01:41,0:37:36,126,0:49:44,137,0:01:34,0:23:24,238,1:14:41,
164,6098,Jean-Julien Lecocq,6,H24+,0:09:48,143,0:01:11,0:41:05,300,0:52:04,230,0:01:10,0:21:30,126,1:14:43,
165,4003,Tim van der Torre,4,H24+,0:10:11,208,0:01:44,0:38:20,157,0:50:14,157,0:01:33,0:22:58,211,1:14:45,
166,1016,Mark van der Louw,1,H24+,0:10:02,183,0:01:43,0:38:17,156,0:50:02,148,0:01:34,0:23:14,227,1:14:49,
167,4133,Arco van der Vlist,4,H24+,0:10:00,177,0:01:51,0:39:40,231,0:51:29,204,0:01:40,0:21:41,143,1:14:49,
168,4079,Roy Haast,4,H24+,0:10:24,237,0:01:40,0:38:23,159,0:50:27,165,0:01:33,0:22:55,205,1:14:53,
169,2086,Rens Linders,2,H24+,0:09:55,166,0:01:35,0:40:09,252,0:51:38,214,0:01:38,0:21:42,144,1:14:57,
170,2004,Germijn Heijnen,2,D24+,0:10:26,241,0:01:28,0:39:45,240,0:51:37,212,0:01:13,0:22:10,173,1:14:59,
171,3120,Henk Scholte Albers,3,H40+,0:10:12,209,0:01:59,0:38:15,155,0:50:24,163,0:01:43,0:22:53,199,1:14:59,
172,4039,Janwillem Sweep,4,H24+,0:09:45,138,0:01:49,0:37:54,137,0:49:27,127,0:01:16,0:24:20,323,1:15:02,
173,1087,Ben Meijer,1,H24+,0:11:42,432,0:01:57,0:36:01,65,0:49:39,134,0:01:37,0:23:48,270,1:15:03,
174,4103,Igor Mucavac,4,H24+,0:10:23,234,0:01:25,0:38:53,184,0:50:39,176,0:01:19,0:23:06,219,1:15:04,
175,6010,Dirk De Wit,6,H40+,0:10:10,207,0:01:43,0:39:22,214,0:51:14,195,0:01:27,0:22:25,185,1:15:05,
176,3077,Ryan Douglas,3,H40+,0:09:37,123,0:01:50,0:39:19,208,0:50:45,180,0:01:42,0:22:39,195,1:15:06,
177,3012,Marvin Rid,3,H40+,0:09:44,135,0:01:11,0:41:10,304,0:52:04,231,0:00:58,0:22:05,167,1:15:06,
178,5037,Jelle de Jong,4,H24+,0:08:58,55,0:01:54,0:40:57,295,0:51:47,221,0:01:17,0:22:02,163,1:15:06,
179,1076,Gerard Kool,1,H24+,0:10:06,195,0:01:57,0:38:04,145,0:50:06,150,0:01:24,0:23:40,259,1:15:10,
180,2021,Sander Steenbrink,2,H40+,0:10:35,266,0:01:26,0:37:54,138,0:49:54,141,0:01:23,0:23:54,283,1:15:11,
