Plts,StartNr,Naam,Vereniging/Woonplaats,Cat,PltsCat,NettoTijd,Na1800m,race,date
80,2089,Kristal Labort,Barleaus,Vrouw,43,00:22:24,00:10:34,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
81,2116,Annemay Fransen,Barleaus,Vrouw,44,00:22:31,00:10:44,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
82,2115,Ghizlane Kamil,Barleaus,Vrouw,45,00:22:36,00:10:44,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
83,1166,Josh Andrew, ,Man,38,00:22:38,00:11:01,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
84,1096,Ilonka Hemminga,Almere,Vrouw,46,00:22:40,00:11:02,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
85,2146,Fiena Blitz,Barleaus,Vrouw,47,00:22:44,00:12:12,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
86,2101,Zoe Stek,Barleaus,Vrouw,48,00:22:44,00:12:11,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
87,2174,Cylia Hendriks,Lanx Cares,Vrouw,49,00:22:45,00:11:19,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
88,1434,Flos Lutgerhorst,Amsterdam,Vrouw,50,00:22:45,00:11:24,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
89,2099,Hannah Reijnders,Barleaus,Vrouw,51,00:22:45,00:12:12,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
90,2077,Isabelle van Dalen,Barleaus,Vrouw,52,00:22:54,00:10:23,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
91,787,Noa Conroy,Amsterdam,Vrouw,53,00:22:56,00:11:26,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
92,788,Coen Conroy,Amsterdam,Man,39,00:23:00,00:11:26,43e Stayokay Vondelparkloop   Amsterdam   21-01-2018,2018-01-21
