Rank,RaceNrs,Cat,RankCat,Team,Nation,Time,race,date
156,1280-1289,ATLET,46,Eemsmondrunners 1,NED,09:08:37,Run Winschoten 12-09-2015,2015-09-12
157,2780-2789,BEDRI,50,Ton Schrantee,NED,09:08:59,Run Winschoten 12-09-2015,2015-09-12
158,1440-1449,ATLET,47,HLC Onstwedde II,NED,09:09:02,Run Winschoten 12-09-2015,2015-09-12
159,1590-1599,ATLET,48,"Runners, Team Rolfes Sport",NED,09:09:55,Run Winschoten 12-09-2015,2015-09-12
160,3800-3809,OVERI,48,Team Kloosterhorn,NED,09:09:56,Run Winschoten 12-09-2015,2015-09-12
161,2630-2639,BEDRI,51,Autobedrijf Dennis Mulder,NED,09:09:57,Run Winschoten 12-09-2015,2015-09-12
162,2750-2759,BEDRI,52,Henkel 1,NED,09:12:32,Run Winschoten 12-09-2015,2015-09-12
163,3300-3309,OVERI,49,Winteb Runners 2,NED,09:14:07,Run Winschoten 12-09-2015,2015-09-12
164,3290-3299,OVERI,50,Winteb Runners 1,NED,09:14:28,Run Winschoten 12-09-2015,2015-09-12
165,3510-3519,OVERI,51,GZVW 2,NED,09:14:56,Run Winschoten 12-09-2015,2015-09-12
166,1490-1499,ATLET,49,LG Rheiderland Gemischtes Team,GER,09:15:13,Run Winschoten 12-09-2015,2015-09-12
167,4560-4569,VROUW,7,Loopgroep Roden Dames,NED,09:15:38,Run Winschoten 12-09-2015,2015-09-12
168,3220-3229,OVERI,52,Multi Missions 2,NED,09:15:44,Run Winschoten 12-09-2015,2015-09-12
169,2300-2309,BEDRI,53,WS Running & Bootcamp,NED,09:15:52,Run Winschoten 12-09-2015,2015-09-12
170,1370-1379,ATLET,50,AV Aquilo - Restaurant Rhodos,NED,09:16:10,Run Winschoten 12-09-2015,2015-09-12
171,2620-2629,BEDRI,54,Pedicure Ina Oortwijn,NED,09:16:32,Run Winschoten 12-09-2015,2015-09-12
172,1110-1119,ATLET,51,Menter A Runners,NED,09:16:40,Run Winschoten 12-09-2015,2015-09-12
173,3530-3539,OVERI,53,Mission Possible I,NED,09:16:50,Run Winschoten 12-09-2015,2015-09-12
174,2670-2679,BEDRI,55,Salon HIP,NED,09:17:31,Run Winschoten 12-09-2015,2015-09-12
175,3500-3509,OVERI,54,GZVW 1,NED,09:17:35,Run Winschoten 12-09-2015,2015-09-12
176,3620-3629,OVERI,55,Amnesty International team 1,NED,09:17:41,Run Winschoten 12-09-2015,2015-09-12
177,3710-3719,OVERI,56,De Beukers,NED,09:17:45,Run Winschoten 12-09-2015,2015-09-12
178,3860-3869,OVERI,57,Loopgroep Siddeburen,NED,09:18:43,Run Winschoten 12-09-2015,2015-09-12
179,2170-2179,BEDRI,56,Accare 2,NED,09:19:09,Run Winschoten 12-09-2015,2015-09-12
180,2160-2169,BEDRI,57,Accare 1,NED,09:19:37,Run Winschoten 12-09-2015,2015-09-12
181,2520-2529,BEDRI,58,Boven Menshop,NED,09:20:08,Run Winschoten 12-09-2015,2015-09-12
182,3590-3599,OVERI,58,Team leeuwis,NED,09:20:31,Run Winschoten 12-09-2015,2015-09-12
183,3570-3579,OVERI,59,Performance,NED,09:22:10,Run Winschoten 12-09-2015,2015-09-12
184,3330-3339,OVERI,60,Toppers en Coop,NED,09:22:20,Run Winschoten 12-09-2015,2015-09-12
185,2140-2149,BEDRI,59,Silhouet Kappers | Valkema Sport I,NED,09:23:10,Run Winschoten 12-09-2015,2015-09-12
186,2200-2209,BEDRI,60,Synergon,NED,09:23:22,Run Winschoten 12-09-2015,2015-09-12
187,3430-3439,OVERI,61,Team Kroon,NED,09:23:42,Run Winschoten 12-09-2015,2015-09-12
188,1290-1299,ATLET,52,Eemsmondrunners 2,NED,09:25:14,Run Winschoten 12-09-2015,2015-09-12
189,2270-2279,BEDRI,61,Oldenburger Fritom,NED,09:25:25,Run Winschoten 12-09-2015,2015-09-12
190,3240-3249,OVERI,62,Multi Missions 1,NED,09:25:28,Run Winschoten 12-09-2015,2015-09-12
191,2220-2229,BEDRI,62,Còmplex Advies,NED,09:26:26,Run Winschoten 12-09-2015,2015-09-12
192,5500-5509,112 B,7,Brandweer MPV,NED,09:27:08,Run Winschoten 12-09-2015,2015-09-12
193,2720-2729,BEDRI,63,Nagelstudio WoW,NED,09:27:17,Run Winschoten 12-09-2015,2015-09-12
194,2260-2269,BEDRI,64,Dollard College team 2,NED,09:28:01,Run Winschoten 12-09-2015,2015-09-12
195,3950-3959,OVERI,63,FrieslandCampina DOMO 2,NED,09:28:16,Run Winschoten 12-09-2015,2015-09-12
196,1380-1389,ATLET,53,Runners Oost Groningen team 1,NED,09:28:46,Run Winschoten 12-09-2015,2015-09-12
197,3790-3799,OVERI,64,domZo!,NED,09:29:23,Run Winschoten 12-09-2015,2015-09-12
198,1510-1519,ATLET,54,AV Fivelstreek 2,NED,09:29:24,Run Winschoten 12-09-2015,2015-09-12
199,3650-3659,OVERI,65,MiXedrunners,NED,09:31:00,Run Winschoten 12-09-2015,2015-09-12
200,3660-3669,OVERI,66,Boelie's Pub,NED,09:32:05,Run Winschoten 12-09-2015,2015-09-12
201,2600-2609,BEDRI,65,Snoek Kringlooppapier bv Team 2,NED,09:32:36,Run Winschoten 12-09-2015,2015-09-12
202,1030-1039,ATLET,55,HoogeZandloperS|Sportpoint Nijeboer,NED,09:33:09,Run Winschoten 12-09-2015,2015-09-12
203,3680-3689,OVERI,67,De Schutters,NED,09:33:32,Run Winschoten 12-09-2015,2015-09-12
204,1470-1479,ATLET,56,LSV Invictus 2,NED,09:33:43,Run Winschoten 12-09-2015,2015-09-12
205,3400-3409,OVERI,68,Westerwind,NED,09:34:25,Run Winschoten 12-09-2015,2015-09-12
206,3550-3559,OVERI,69,Team Jan Musch loopgroep Scheemda,NED,09:35:00,Run Winschoten 12-09-2015,2015-09-12
207,2480-2489,BEDRI,66,Ommelander ziekenhuis groep 2,NED,09:35:22,Run Winschoten 12-09-2015,2015-09-12
208,3940-3949,OVERI,70,Familierunners,NED,09:35:38,Run Winschoten 12-09-2015,2015-09-12
209,4500-4509,VROUW,8,Atemlos Frauenteam,GER,09:35:41,Run Winschoten 12-09-2015,2015-09-12
210,2040-2049,BEDRI,67,Fontana Bad Nieuweschans,NED,09:36:51,Run Winschoten 12-09-2015,2015-09-12
211,1520-1529,ATLET,57,AV Fivelstreek 3,NED,09:36:59,Run Winschoten 12-09-2015,2015-09-12
212,3990-3999,OVERI,71,De Kloukies,NED,09:37:51,Run Winschoten 12-09-2015,2015-09-12
